Country or Area,Commodity - Transaction,Year,Unit,Quantity,Quantity Footnotes
Belgium,Biodiesel - Production,2020,"Metric tons,  thousand",153,
Belgium,Biodiesel - Production,2019,"Metric tons,  thousand",254.3,
Belgium,Biodiesel - Production,2018,"Metric tons,  thousand",252.2,
Belgium,Biodiesel - Production,2017,"Metric tons,  thousand",289.5,
Belgium,Biodiesel - Production,2016,"Metric tons,  thousand",235,
Belgium,Biodiesel - Production,2015,"Metric tons,  thousand",248,
Belgium,Biodiesel - Production,2014,"Metric tons,  thousand",446,
Belgium,Biodiesel - Production,2013,"Metric tons,  thousand",300,
Belgium,Biodiesel - Production,2012,"Metric tons,  thousand",308,
Belgium,Biodiesel - Production,2011,"Metric tons,  thousand",305,
Belgium,Biodiesel - Production,2010,"Metric tons,  thousand",343,
Belgium,Biodiesel - Production,2009,"Metric tons,  thousand",127,
Czechia,Biodiesel - Production,2020,"Metric tons,  thousand",258.647,
Czechia,Biodiesel - Production,2019,"Metric tons,  thousand",248.418,
Czechia,Biodiesel - Production,2018,"Metric tons,  thousand",194.278,
Czechia,Biodiesel - Production,2017,"Metric tons,  thousand",157.429,
Czechia,Biodiesel - Production,2016,"Metric tons,  thousand",149,
Czechia,Biodiesel - Production,2015,"Metric tons,  thousand",168,
Czechia,Biodiesel - Production,2014,"Metric tons,  thousand",219,
Czechia,Biodiesel - Production,2013,"Metric tons,  thousand",182,
Czechia,Biodiesel - Production,2012,"Metric tons,  thousand",173,
Czechia,Biodiesel - Production,2011,"Metric tons,  thousand",210,
Czechia,Biodiesel - Production,2010,"Metric tons,  thousand",198,
Czechia,Biodiesel - Production,2009,"Metric tons,  thousand",155,
Czechia,Biodiesel - Production,2008,"Metric tons,  thousand",77,
Czechia,Biodiesel - Production,2007,"Metric tons,  thousand",82,
Czechia,Biodiesel - Production,2006,"Metric tons,  thousand",110,
Czechia,Biodiesel - Production,2005,"Metric tons,  thousand",127,
Czechia,Biodiesel - Production,2004,"Metric tons,  thousand",85,
Czechia,Biodiesel - Production,2003,"Metric tons,  thousand",114,
Czechia,Biodiesel - Production,2002,"Metric tons,  thousand",104,
Czechia,Biodiesel - Production,2001,"Metric tons,  thousand",71,
Czechia,Biodiesel - Production,2000,"Metric tons,  thousand",67,
Czechia,Biodiesel - Production,1999,"Metric tons,  thousand",31,
Czechia,Biodiesel - Production,1998,"Metric tons,  thousand",16,
Czechia,Biodiesel - Production,1997,"Metric tons,  thousand",28,
Czechia,Biodiesel - Production,1996,"Metric tons,  thousand",19,
Czechia,Biodiesel - Production,1995,"Metric tons,  thousand",12,
Czechia,Biodiesel - Production,1994,"Metric tons,  thousand",9,
Czechia,Biodiesel - Production,1993,"Metric tons,  thousand",6,
Czechia,Biodiesel - Production,1992,"Metric tons,  thousand",3,
Finland,Biodiesel - Production,2020,"Metric tons,  thousand",297,
Finland,Biodiesel - Production,2019,"Metric tons,  thousand",331.179,
Finland,Biodiesel - Production,2018,"Metric tons,  thousand",275.682,
Finland,Biodiesel - Production,2017,"Metric tons,  thousand",298.688,
Finland,Biodiesel - Production,2016,"Metric tons,  thousand",105,
Finland,Biodiesel - Production,2015,"Metric tons,  thousand",416,
Finland,Biodiesel - Production,2014,"Metric tons,  thousand",342,
Finland,Biodiesel - Production,2013,"Metric tons,  thousand",306,
Finland,Biodiesel - Production,2012,"Metric tons,  thousand",247,
Finland,Biodiesel - Production,2011,"Metric tons,  thousand",195,
Finland,Biodiesel - Production,2010,"Metric tons,  thousand",285,
Finland,Biodiesel - Production,2009,"Metric tons,  thousand",219,
Finland,Biodiesel - Production,2008,"Metric tons,  thousand",83,
Finland,Biodiesel - Production,2007,"Metric tons,  thousand",40,
Germany,Biodiesel - Production,2020,"Metric tons,  thousand",3400,
Germany,Biodiesel - Production,2019,"Metric tons,  thousand",3583,
Germany,Biodiesel - Production,2018,"Metric tons,  thousand",3344,
Germany,Biodiesel - Production,2017,"Metric tons,  thousand",3208,
Germany,Biodiesel - Production,2016,"Metric tons,  thousand",3119,
Germany,Biodiesel - Production,2015,"Metric tons,  thousand",3085,
Germany,Biodiesel - Production,2014,"Metric tons,  thousand",3352,
Germany,Biodiesel - Production,2013,"Metric tons,  thousand",2911,
Germany,Biodiesel - Production,2012,"Metric tons,  thousand",2734,
Germany,Biodiesel - Production,2011,"Metric tons,  thousand",3082,
Germany,Biodiesel - Production,2010,"Metric tons,  thousand",3084,
Germany,Biodiesel - Production,2009,"Metric tons,  thousand",2433,
Germany,Biodiesel - Production,2008,"Metric tons,  thousand",2521,
Germany,Biodiesel - Production,2007,"Metric tons,  thousand",2968,
